loopIteration,time,rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbatLatest,amperageLatest,gyroADC[0],gyroADC[1],gyroADC[2],gyroADCafterRpm[0],gyroADCafterRpm[1],gyroADCafterRpm[2],accSmooth[0],accSmooth[1],accSmooth[2],accADCafterRpm[0],accADCafterRpm[1],accADCafterRpm[2],motor[0],motor[1],motor[2],motor[3],erpm[0],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,heading[0],heading[1],heading[2]
45,23010592,0,0,0,10000,1,0,9,-9,11,0,-1,1,-1,-74,-2024,1,74,-2024,158,158,158,158,0,0,0,0,0,0,-3.104326793,0.001577724,0.002039751
46,23010840,0,0,0,10000,1,0,8,-9,11,0,-1,0,-1,-75,-2023,1,75,-2023,158,158,158,158,0,0,0,0,0,0,-3.104297631,0.001593559,0.002085889
47,23011087,0,0,0,10000,1,0,8,-9,11,0,-1,0,-1,-74,-2024,1,74,-2024,158,158,158,158,0,0,0,0,0,0,-3.104280228,0.001609374,0.002131865
48,23011335,0,0,0,10000,1,0,8,-9,12,0,-1,0,-1,-74,-2024,1,74,-2024,158,158,158,158,0,0,0,0,0,0,-3.104262732,0.001625657,0.002182353
49,23011583,0,0,0,10000,1,0,8,-9,12,0,-1,1,0,-74,-2025,0,74,-2025,158,158,158,158,0,0,0,0,0,0,-3.104245659,0.001631763,0.002232841
50,23011830,0,0,0,10000,1,0,8,-9,12,0,-1,1,1,-73,-2026,-1,73,-2026,158,158,158,158,0,0,0,0,0,0,-3.104239213,0.001628122,0.00228315
51,23012078,0,0,0,10000,1,0,8,-8,12,0,-1,1,2,-74,-2027,-2,74,-2027,158,158,158,158,0,0,0,0,0,0,-3.104222708,0.001611367,0.002333802
52,23012326,0,0,0,10000,1,0,8,-9,12,0,-1,1,0,-74,-2027,0,74,-2027,158,158,158,158,0,0,0,0,0,0,-3.104206201,0.001619616,0.002384293
53,23012573,0,0,0,10000,1,0,9,-9,12,0,-1,1,0,-75,-2028,0,75,-2028,158,158,158,158,0,0,0,0,0,0,-3.104176406,0.001628108,0.002434558
54,23012821,0,0,0,10000,1,0,9,-9,12,0,-1,1,-1,-76,-2028,1,76,-2028,158,158,158,158,0,0,0,0,0,0,-3.104137483,0.001646557,0.002485004
55,23013069,0,0,0,10000,1,0,9,-9,12,0,-1,1,0,-75,-2027,0,75,-2027,158,158,158,158,0,0,0,0,0,0,-3.104108173,0.001655827,0.002535472
56,23013316,0,0,0,10000,1,0,9,-9,11,0,-1,0,0,-74,-2027,0,74,-2027,158,158,158,158,0,0,0,0,0,0,-3.104088461,0.001665139,0.002581451
57,23013564,0,0,0,10000,1,0,9,-8,11,0,-1,0,0,-73,-2027,0,73,-2027,158,158,158,158,0,0,0,0,0,0,-3.104077562,0.001670712,0.002627802
58,23013812,0,0,0,10000,1,0,9,-8,10,0,-1,0,1,-73,-2027,-1,73,-2027,158,158,158,158,0,0,0,0,0,0,-3.104066399,0.00166774,0.002669827
59,23014059,0,0,0,10000,1,0,8,-8,10,0,-1,-1,1,-73,-2026,-1,73,-2026,158,158,158,158,0,0,0,0,0,0,-3.104059055,0.001665315,0.002711683
60,23014307,0,0,0,10000,1,0,8,-9,11,0,-1,0,0,-73,-2025,0,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.104050965,0.001676612,0.002757869
61,23014554,0,0,0,10000,1,0,8,-9,12,0,-1,0,0,-73,-2026,0,73,-2026,158,158,158,158,0,0,0,0,0,0,-3.104043067,0.001688153,0.002808178
62,23014802,0,0,0,10000,1,0,8,-9,12,0,-1,1,0,-73,-2026,0,73,-2026,158,158,158,158,0,0,0,0,0,0,-3.104034764,0.001700103,0.002858691
63,23015050,0,0,0,10000,1,0,8,-9,12,0,-1,1,0,-73,-2025,0,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.104025904,0.0017123,0.002909203
64,23015297,0,0,0,10000,1,0,8,-9,12,0,-1,1,-2,-73,-2025,2,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.104016951,0.00174058,0.002959511
65,23015545,0,0,0,10000,1,0,8,-9,11,0,-1,0,-2,-75,-2025,2,75,-2025,158,158,158,158,0,0,0,0,0,0,-3.103991849,0.001768587,0.003005653
66,23015793,0,0,0,10000,1,0,7,-9,12,0,-1,0,-3,-75,-2024,3,75,-2024,158,158,158,158,0,0,0,0,0,0,-3.103970986,0.001804293,0.003056118
67,23016040,0,0,0,10000,1,0,7,-9,12,1,-1,1,-2,-76,-2023,2,76,-2023,158,158,158,158,0,0,0,0,0,0,-3.103942479,0.001831691,0.003106358
68,23016288,0,0,0,10000,1,0,7,-10,12,1,-1,1,-1,-75,-2024,1,75,-2024,158,158,158,158,0,0,0,0,0,0,-3.10392212,0.001855689,0.003156661
69,23016536,0,0,0,10000,1,0,8,-10,11,1,0,0,0,-74,-2025,0,74,-2025,158,158,158,158,0,0,0,0,0,0,-3.103905412,0.001871966,0.003202662
70,23016783,0,0,0,10000,1,0,8,-10,10,0,0,0,2,-73,-2025,-2,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.103896213,0.001873304,0.003244193
71,23017031,0,0,0,10000,1,0,8,-10,11,0,0,-1,2,-73,-2025,-2,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.103886689,0.00187553,0.003290218
72,23017279,0,0,0,10000,1,0,9,-11,11,0,0,0,3,-72,-2025,-3,72,-2025,158,158,158,158,0,0,0,0,0,0,-3.103879891,0.00187536,0.003336102
73,23017526,0,0,0,10000,1,0,9,-11,11,0,0,0,3,-72,-2025,-3,72,-2025,158,158,158,158,0,0,0,0,0,0,-3.103872937,0.001875626,0.003381802
74,23017774,0,0,0,10000,1,0,9,-11,11,0,0,0,3,-72,-2026,-3,72,-2026,158,158,158,158,0,0,0,0,0,0,-3.103865794,0.001876686,0.003427687
75,23018022,0,0,0,10000,1,0,9,-12,11,0,0,0,2,-72,-2025,-2,72,-2025,158,158,158,158,0,0,0,0,0,0,-3.103858096,0.00188952,0.003473408
76,23018269,0,0,0,10000,1,0,9,-12,11,0,1,0,2,-73,-2025,-2,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.103843457,0.00190246,0.003518923
77,23018517,0,0,0,10000,1,0,8,-12,10,0,1,0,3,-75,-2023,-3,75,-2023,158,158,158,158,0,0,0,0,0,0,-3.103818841,0.001909043,0.003560249
78,23018765,0,0,0,10000,1,0,8,-12,10,0,1,-1,3,-75,-2022,-3,75,-2022,158,158,158,158,0,0,0,0,0,0,-3.103794187,0.001916106,0.003601574
79,23019012,0,0,0,10000,1,0,8,-13,11,0,1,0,4,-75,-2022,-4,75,-2022,158,158,158,158,0,0,0,0,0,0,-3.103769893,0.001921229,0.003646877
80,23019260,0,0,0,10000,1,0,8,-13,11,0,2,0,4,-75,-2023,-4,75,-2023,158,158,158,158,0,0,0,0,0,0,-3.103745912,0.001927112,0.003692364
81,23019508,0,0,0,10000,1,0,8,-13,11,0,2,0,3,-75,-2023,-3,75,-2023,158,158,158,158,0,0,0,0,0,0,-3.103722124,0.001939951,0.003737851
82,23019755,0,0,0,10000,1,0,8,-13,11,0,2,0,2,-74,-2023,-2,74,-2023,158,158,158,158,0,0,0,0,0,0,-3.103705021,0.001959271,0.003783179
83,23020003,0,0,0,10000,1,0,8,-13,11,0,2,0,1,-73,-2022,-1,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.10369386,0.001985311,0.003828712
84,23020251,0,0,0,10000,1,0,8,-13,11,0,2,0,1,-73,-2021,-1,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.103682349,0.002011387,0.003874245
85,23020498,0,0,0,10000,0,0,8,-13,11,0,2,0,2,-73,-2021,-2,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.103670871,0.002031094,0.003919595
86,23020746,0,0,0,10000,0,0,8,-13,11,0,2,0,2,-73,-2022,-2,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.103659385,0.002051184,0.00396513
87,23020993,0,0,0,10000,0,0,7,-13,11,0,2,0,2,-71,-2024,-2,71,-2024,158,158,158,158,0,0,0,0,0,0,-3.103664699,0.002071174,0.004010531
88,23021241,0,0,0,10000,0,0,7,-14,11,1,2,0,2,-70,-2024,-2,70,-2024,158,158,158,158,0,0,0,0,0,0,-3.103675423,0.002095822,0.004055977
89,23021489,0,0,0,10000,0,0,8,-14,11,1,2,0,3,-69,-2024,-3,69,-2024,158,158,158,158,0,0,0,0,0,0,-3.103687222,0.002114659,0.004101448
90,23021736,0,0,0,10000,0,0,8,-14,11,0,2,0,2,-69,-2023,-2,69,-2023,158,158,158,158,0,0,0,0,0,0,-3.103698326,0.002139325,0.004146736
91,23021984,0,0,0,10000,0,0,8,-14,11,0,2,0,2,-70,-2022,-2,70,-2022,158,158,158,158,0,0,0,0,0,0,-3.103702705,0.002164339,0.004192183
92,23022232,0,0,0,10000,0,0,8,-14,11,0,2,0,2,-71,-2021,-2,71,-2021,158,158,158,158,0,0,0,0,0,0,-3.103700705,0.002189446,0.004237605
93,23022479,0,0,0,10000,0,0,8,-14,12,0,2,0,0,-73,-2021,0,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.103687221,0.002225888,0.004287102
94,23022727,0,0,0,10000,0,0,8,-14,11,0,2,1,-1,-73,-2021,1,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.103673542,0.002267871,0.004332475
95,23022975,0,0,0,10000,0,0,9,-14,12,0,2,0,-3,-74,-2022,3,74,-2022,158,158,158,158,0,0,0,0,0,0,-3.1036502,0.002320854,0.004382149
96,23023222,0,0,0,10000,0,0,9,-14,11,0,2,0,-5,-74,-2022,5,74,-2022,158,158,158,158,0,0,0,0,0,0,-3.103627119,0.002383948,0.004427315
97,23023470,0,0,0,10000,0,0,9,-14,11,0,2,0,-5,-74,-2021,5,74,-2021,158,158,158,158,0,0,0,0,0,0,-3.103603786,0.002446599,0.004472663
98,23023718,0,0,0,10000,0,0,9,-14,11,0,2,0,-5,-74,-2020,5,74,-2020,158,158,158,158,0,0,0,0,0,0,-3.103580362,0.002508576,0.00451801
99,23023965,0,0,0,10000,0,0,9,-13,11,0,2,0,-6,-73,-2019,6,73,-2019,158,158,158,158,0,0,0,0,0,0,-3.103562358,0.00257075,0.004563362
100,23024213,0,0,0,10000,0,0,8,-14,11,0,2,0,-7,-73,-2018,7,73,-2018,158,158,158,158,0,0,0,0,0,0,-3.103548288,0.002642051,0.004608733
101,23024461,0,0,0,10000,0,0,8,-14,11,0,2,0,-8,-73,-2018,8,73,-2018,158,158,158,158,0,0,0,0,0,0,-3.103534187,0.002717777,0.004654103
102,23024708,0,0,0,10000,0,0,7,-14,11,0,2,0,-8,-72,-2018,8,72,-2018,158,158,158,158,0,0,0,0,0,0,-3.103529671,0.00279234,0.004699318
103,23024956,0,0,0,10000,0,0,8,-14,11,1,2,0,-7,-71,-2019,7,71,-2019,158,158,158,158,0,0,0,0,0,0,-3.10352594,0.00286108,0.004744741
104,23025204,0,0,0,10000,0,0,8,-14,11,0,2,0,-6,-70,-2020,6,70,-2020,158,158,158,158,0,0,0,0,0,0,-3.103527299,0.002923914,0.004790193
105,23025451,0,0,0,10000,0,0,8,-13,11,0,2,0,-5,-70,-2020,5,70,-2020,158,158,158,158,0,0,0,0,0,0,-3.103528476,0.002976507,0.004835626
106,23025699,0,0,0,10000,0,0,8,-13,12,0,2,0,-5,-70,-2019,5,70,-2019,158,158,158,158,0,0,0,0,0,0,-3.103529023,0.003029018,0.004885568
107,23025947,0,0,0,10000,0,0,8,-12,11,0,1,0,-4,-70,-2019,4,70,-2019,158,158,158,158,0,0,0,0,0,0,-3.103529259,0.003071609,0.00493135
108,23026194,0,0,0,10000,0,0,8,-12,11,0,1,0,-4,-70,-2018,4,70,-2018,158,158,158,158,0,0,0,0,0,0,-3.103529154,0.003113667,0.004976947
109,23026442,0,0,0,10000,0,0,8,-12,10,0,1,0,-3,-70,-2019,3,70,-2019,158,158,158,158,0,0,0,0,0,0,-3.103528804,0.003150526,0.005018404
110,23026689,0,0,0,10000,0,0,8,-12,10,0,1,-1,-3,-70,-2019,3,70,-2019,158,158,158,158,0,0,0,0,0,0,-3.103528318,0.003186946,0.005059695
111,23026937,0,0,0,10000,0,0,8,-12,11,0,1,-1,-3,-71,-2020,3,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.103522794,0.003223509,0.005105452
112,23027185,0,0,0,10000,0,0,8,-12,11,0,1,0,-3,-71,-2020,3,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.103517093,0.003259855,0.00515121
113,23027432,0,0,0,10000,0,0,8,-12,11,0,1,0,-3,-71,-2021,3,71,-2021,158,158,158,158,0,0,0,0,0,0,-3.103511537,0.003295761,0.005196786
114,23027680,0,0,0,10000,0,0,8,-12,11,0,1,0,-3,-71,-2022,3,71,-2022,158,158,158,158,0,0,0,0,0,0,-3.103505852,0.003331662,0.005242546
115,23027928,0,0,0,10000,0,0,8,-12,11,0,1,0,-3,-72,-2022,3,72,-2022,158,158,158,158,0,0,0,0,0,0,-3.103495319,0.003367362,0.005288281
116,23028175,0,0,0,10000,0,0,8,-11,11,0,1,0,-3,-73,-2022,3,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.103480199,0.003398384,0.005333969
117,23028423,0,0,0,10000,0,0,8,-12,11,0,1,0,-5,-74,-2022,5,74,-2022,158,158,158,158,0,0,0,0,0,0,-3.10346033,0.003442955,0.005379651
118,23028671,0,0,0,10000,0,0,9,-12,11,0,1,0,-6,-74,-2022,6,74,-2022,158,158,158,158,0,0,0,0,0,0,-3.103436248,0.003491759,0.005425332
119,23028918,0,0,0,10000,0,0,9,-11,11,0,1,0,-7,-76,-2020,7,76,-2020,158,158,158,158,0,0,0,0,0,0,-3.103403016,0.003540239,0.005470939
120,23029166,0,0,0,10000,0,0,9,-11,12,0,0,0,-7,-76,-2020,7,76,-2020,158,158,158,158,0,0,0,0,0,0,-3.103369908,0.003588646,0.005521057
121,23029414,0,0,0,10000,0,0,9,-11,12,0,0,1,-6,-75,-2020,6,75,-2020,158,158,158,158,0,0,0,0,0,0,-3.103341529,0.003632154,0.005571201
122,23029661,0,0,0,10000,0,0,9,-11,11,0,0,1,-5,-75,-2020,5,75,-2020,158,158,158,158,0,0,0,0,0,0,-3.10331347,0.003670517,0.005616835
123,23029909,0,0,0,10000,0,0,9,-11,12,0,0,0,-4,-74,-2020,4,74,-2020,158,158,158,158,0,0,0,0,0,0,-3.103289851,0.003704573,0.005667007
124,23030157,0,0,0,10000,0,0,9,-11,11,0,0,0,-4,-75,-2020,4,75,-2020,158,158,158,158,0,0,0,0,0,0,-3.103261945,0.003738276,0.005712826
125,23030404,0,0,0,10000,0,0,9,-11,11,0,0,0,-4,-75,-2018,4,75,-2018,158,158,158,158,0,0,0,0,0,0,-3.103234029,0.003771631,0.005758459
126,23030652,0,0,0,10000,0,0,9,-11,10,0,0,0,-4,-74,-2018,4,74,-2018,158,158,158,158,0,0,0,0,0,0,-3.103210422,0.003804842,0.005799979
127,23030900,0,0,0,10000,0,0,8,-11,10,0,0,-1,-4,-73,-2018,4,73,-2018,158,158,158,158,0,0,0,0,0,0,-3.103195486,0.003837879,0.005841525
128,23031147,0,0,0,10000,0,0,8,-11,10,0,0,-1,-5,-73,-2020,5,73,-2020,158,158,158,158,0,0,0,0,0,0,-3.103181008,0.00387477,0.005882906
129,23031395,0,0,0,10000,0,0,9,-11,10,0,0,-1,-5,-72,-2020,5,72,-2020,158,158,158,158,0,0,0,0,0,0,-3.103166311,0.003911627,0.005924482
130,23031643,0,0,0,10000,0,0,9,-11,10,0,0,-1,-5,-71,-2019,5,71,-2019,158,158,158,158,0,0,0,0,0,0,-3.103155606,0.003948274,0.005966083
131,23031890,0,0,0,10000,0,0,8,-11,10,0,0,-1,-4,-71,-2019,4,71,-2019,158,158,158,158,0,0,0,0,0,0,-3.103149233,0.003980335,0.006007518
132,23032138,0,0,0,10000,0,0,8,-10,11,0,0,0,-3,-71,-2019,3,71,-2019,158,158,158,158,0,0,0,0,0,0,-3.103142607,0.004004175,0.006053612
133,23032385,0,0,0,10000,0,0,8,-10,12,0,0,0,-4,-72,-2019,4,72,-2019,158,158,158,158,0,0,0,0,0,0,-3.103131898,0.004032054,0.006103802
134,23032633,0,0,0,10000,0,0,8,-9,11,0,0,1,-4,-72,-2019,4,72,-2019,158,158,158,158,0,0,0,0,0,0,-3.103120969,0.004055543,0.006150035
135,23032881,0,0,0,10000,0,0,8,-9,11,0,-1,0,-5,-72,-2019,5,72,-2019,158,158,158,158,0,0,0,0,0,0,-3.103109977,0.00408301,0.006196269
136,23033128,0,0,0,10000,0,0,8,-9,10,0,-1,0,-5,-72,-2020,5,72,-2020,158,158,158,158,0,0,0,0,0,0,-3.103099198,0.004109997,0.00623801
137,23033376,0,0,0,10000,0,0,9,-9,10,0,-1,-1,-5,-72,-2021,5,72,-2021,158,158,158,158,0,0,0,0,0,0,-3.103084079,0.004136998,0.00627992
138,23033624,0,0,0,10000,0,0,9,-9,11,0,-1,0,-5,-71,-2022,5,71,-2022,158,158,158,158,0,0,0,0,0,0,-3.10307308,0.004164019,0.006326184
139,23033871,0,0,0,10000,0,0,8,-9,11,0,-1,0,-4,-70,-2023,4,70,-2023,158,158,158,158,0,0,0,0,0,0,-3.103070529,0.004186778,0.00637229
140,23034119,0,0,0,10000,0,0,8,-9,11,0,-1,0,-3,-69,-2023,3,69,-2023,158,158,158,158,0,0,0,0,0,0,-3.103071589,0.004205703,0.006418609
141,23034367,0,0,0,10000,0,0,9,-10,11,0,-1,0,-1,-69,-2022,1,69,-2022,158,158,158,158,0,0,0,0,0,0,-3.103067974,0.004221111,0.00646476
142,23034614,0,0,0,10000,0,0,9,-9,11,0,0,0,0,-69,-2022,0,69,-2022,158,158,158,158,0,0,0,0,0,0,-3.103064326,0.004228248,0.006510892
143,23034862,0,0,0,10000,0,0,9,-9,11,0,-1,0,0,-70,-2021,0,70,-2021,158,158,158,158,0,0,0,0,0,0,-3.103056334,0.004235714,0.006557182
144,23035110,0,0,0,10000,0,0,9,-9,11,0,-1,0,-1,-71,-2020,1,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.103044238,0.004247175,0.006603444
145,23035357,0,0,0,10000,0,0,9,-9,11,0,-1,0,-1,-72,-2019,1,72,-2019,158,158,158,158,0,0,0,0,0,0,-3.103028275,0.004258578,0.006649493
146,23035605,0,0,0,10000,0,0,9,-9,12,0,-1,0,-3,-71,-2017,3,71,-2017,158,158,158,158,0,0,0,0,0,0,-3.103015655,0.004278006,0.006700078
147,23035853,0,0,0,10000,0,0,9,-9,12,0,-1,1,-3,-71,-2018,3,71,-2018,158,158,158,158,0,0,0,0,0,0,-3.103003122,0.004297398,0.006750663
148,23036100,0,0,0,10000,0,0,9,-9,11,0,-1,0,-5,-71,-2020,5,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.102990955,0.004323896,0.00679674
149,23036348,0,0,0,10000,0,0,9,-8,11,0,-1,0,-5,-71,-2020,5,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.102978571,0.004346149,0.00684317
