loopIteration,time,rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbatLatest,amperageLatest,gyroADC[0],gyroADC[1],gyroADC[2],gyroADCafterRpm[0],gyroADCafterRpm[1],gyroADCafterRpm[2],accSmooth[0],accSmooth[1],accSmooth[2],accADCafterRpm[0],accADCafterRpm[1],accADCafterRpm[2],motor[0],motor[1],motor[2],motor[3],erpm[0],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,heading[0],heading[1],heading[2]
0,22999448,0,0,0,10000,0,0,9,-12,12,0,1,0,2,-74,-2024,-2,74,-2024,158,158,158,158,0,NaN,NaN,NaN,NaN,NaN,-3.105047667,-0.000987482,2.02E-07
1,22999695,0,0,0,10000,0,0,9,-13,11,0,1,1,2,-74,-2024,-2,74,-2024,158,158,158,158,0,0,0,0,0,0,-3.105028262,-0.000958637,4.55419E-05
2,22999943,0,0,0,10000,0,0,8,-13,11,0,2,0,1,-73,-2025,-1,73,-2025,158,158,158,158,0,0,0,0,0,0,-3.105182395,-0.000764675,9.10855E-05
3,23000191,0,0,0,10000,0,0,8,-12,11,0,2,0,0,-73,-2026,0,73,-2026,158,158,158,158,0,0,0,0,0,0,-3.105255296,-0.000532723,0.000136792
4,23000438,0,0,0,10000,1,0,8,-12,11,0,1,0,-2,-74,-2027,2,74,-2027,158,158,158,158,0,0,0,0,0,0,-3.105196869,-0.000184997,0.000182295
5,23000686,0,0,0,10000,1,0,8,-12,11,0,1,0,-2,-75,-2027,2,75,-2027,158,158,158,158,0,0,0,0,0,0,-3.105069581,5.5789E-05,0.000227958
6,23000933,0,0,0,10000,1,0,8,-12,11,0,1,0,-2,-75,-2025,2,75,-2025,158,158,158,158,0,0,0,0,0,0,-3.1049687,0.000235216,0.000273435
7,23001181,0,0,0,10000,1,0,8,-12,11,0,1,0,-2,-75,-2023,2,75,-2023,158,158,158,158,0,0,0,0,0,0,-3.104884083,0.000376672,0.000319092
8,23001429,0,0,0,10000,1,0,9,-12,11,0,1,0,-2,-75,-2021,2,75,-2021,158,158,158,158,0,0,0,0,0,0,-3.104806536,0.000492696,0.000364748
9,23001676,0,0,0,10000,1,0,9,-12,11,0,1,0,-3,-75,-2020,3,75,-2020,158,158,158,158,0,0,0,0,0,0,-3.104738929,0.000640447,0.000410217
10,23001924,0,0,0,10000,1,0,8,-11,11,0,1,0,-3,-73,-2019,3,73,-2019,158,158,158,158,0,0,0,0,0,0,-3.104772699,0.0007625,0.000456079
11,23002172,0,0,0,10000,1,0,8,-11,11,0,0,0,-4,-73,-2019,4,73,-2019,158,158,158,158,0,0,0,0,0,0,-3.104798007,0.000909855,0.00050194
12,23002419,0,0,0,10000,1,0,8,-11,12,0,0,0,-3,-73,-2019,3,73,-2019,158,158,158,158,0,0,0,0,0,0,-3.104816939,0.000999916,0.000551924
13,23002667,0,0,0,10000,1,0,8,-11,11,0,0,0,-3,-74,-2019,3,74,-2019,158,158,158,158,0,0,0,0,0,0,-3.104794964,0.001080646,0.000597761
14,23002915,0,0,0,10000,1,0,9,-10,11,0,0,0,-3,-75,-2020,3,75,-2020,158,158,158,158,0,0,0,0,0,0,-3.10473753,0.001149802,0.000643734
15,23003162,0,0,0,10000,1,0,9,-10,11,0,0,0,-3,-76,-2022,3,76,-2022,158,158,158,158,0,0,0,0,0,0,-3.104656079,0.001212854,0.000689499
16,23003410,0,0,0,10000,1,0,9,-10,10,0,0,0,-3,-76,-2022,3,76,-2022,158,158,158,158,0,0,0,0,0,0,-3.10458181,0.001271113,0.000731124
17,23003658,0,0,0,10000,1,0,9,-10,10,0,0,-1,-3,-77,-2022,3,77,-2022,158,158,158,158,0,0,0,0,0,0,-3.104485842,0.001325359,0.000772726
18,23003905,0,0,0,10000,1,0,9,-10,11,0,0,0,-3,-76,-2020,3,76,-2020,158,158,158,158,0,0,0,0,0,0,-3.104422533,0.001376278,0.00081849
19,23004153,0,0,0,10000,1,0,9,-10,10,0,0,0,-3,-76,-2018,3,76,-2018,158,158,158,158,0,0,0,0,0,0,-3.104361623,0.001424408,0.000860113
20,23004401,0,0,0,10000,1,0,8,-11,10,0,0,0,-2,-76,-2017,2,76,-2017,158,158,158,158,0,0,0,0,0,0,-3.104307915,0.001450283,0.000901574
21,23004648,0,0,0,10000,1,0,8,-11,11,0,0,-1,-2,-75,-2017,2,75,-2017,158,158,158,158,0,0,0,0,0,0,-3.104280526,0.001475971,0.0009472
22,23004896,0,0,0,10000,1,0,8,-11,11,0,0,0,-3,-75,-2017,3,75,-2017,158,158,158,158,0,0,0,0,0,0,-3.104253916,0.001523605,0.000993011
23,23005144,0,0,0,10000,1,0,8,-10,11,0,0,0,-3,-75,-2018,3,75,-2018,158,158,158,158,0,0,0,0,0,0,-3.104228896,0.001565117,0.001038984
24,23005391,0,0,0,10000,1,0,8,-10,11,0,0,0,-3,-74,-2019,3,74,-2019,158,158,158,158,0,0,0,0,0,0,-3.104225572,0.001604871,0.001084796
25,23005639,0,0,0,10000,1,0,9,-10,12,0,0,0,-3,-73,-2021,3,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.104237777,0.001643525,0.001135146
26,23005887,0,0,0,10000,1,0,9,-10,12,0,0,1,-1,-73,-2023,1,73,-2023,158,158,158,158,0,0,0,0,0,0,-3.104249069,0.001643469,0.001185497
27,23006134,0,0,0,10000,1,0,9,-10,11,0,0,1,-1,-73,-2024,1,73,-2024,158,158,158,158,0,0,0,0,0,0,-3.104259013,0.001644636,0.001231338
28,23006382,0,0,0,10000,1,0,9,-10,11,0,0,0,-1,-72,-2023,1,72,-2023,158,158,158,158,0,0,0,0,0,0,-3.104283597,0.001647439,0.001277387
29,23006630,0,0,0,10000,1,0,9,-10,10,0,0,0,-1,-72,-2022,1,72,-2022,158,158,158,158,0,0,0,0,0,0,-3.104304639,0.001651392,0.00131911
30,23006877,0,0,0,10000,1,0,8,-9,10,0,0,-1,0,-73,-2022,0,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.104311082,0.00163581,0.001360802
31,23007125,0,0,0,10000,1,0,8,-9,10,0,-1,-1,0,-73,-2022,0,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.104315939,0.001622591,0.001402662
32,23007372,0,0,0,10000,1,0,8,-9,10,0,-1,-1,0,-73,-2021,0,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.104319042,0.001611236,0.001444352
33,23007620,0,0,0,10000,1,0,7,-9,10,0,-1,-1,0,-73,-2022,0,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.104325597,0.001601838,0.001486211
34,23007868,0,0,0,10000,1,0,7,-9,10,1,-1,-1,0,-73,-2022,0,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.104330937,0.001594103,0.001528071
35,23008116,0,0,0,10000,1,0,7,-9,10,1,-1,-1,0,-73,-2021,0,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.104334638,0.001587915,0.001569929
36,23008363,0,0,0,10000,1,0,7,-9,10,1,-1,-1,0,-73,-2021,0,73,-2021,158,158,158,158,0,0,0,0,0,0,-3.104337464,0.001582964,0.001611618
37,23008611,0,0,0,10000,1,0,8,-9,10,0,-1,-1,1,-72,-2021,-1,72,-2021,158,158,158,158,0,0,0,0,0,0,-3.104348449,0.00156605,0.001653499
38,23008858,0,0,0,10000,1,0,8,-9,11,0,-1,-1,0,-71,-2020,0,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.10437074,0.001564109,0.001699542
39,23009106,0,0,0,10000,1,0,8,-9,11,0,-1,0,0,-71,-2020,0,71,-2020,158,158,158,158,0,0,0,0,0,0,-3.104390949,0.001563405,0.001745771
40,23009354,0,0,0,10000,1,0,8,-9,11,0,-1,0,0,-73,-2022,0,73,-2022,158,158,158,158,0,0,0,0,0,0,-3.104385373,0.001563652,0.001791954
41,23009601,0,0,0,10000,1,0,8,-9,12,0,-1,0,0,-73,-2023,0,73,-2023,158,158,158,158,0,0,0,0,0,0,-3.104379864,0.001564803,0.00184226
42,23009849,0,0,0,10000,1,0,9,-9,12,0,-1,1,0,-73,-2024,0,73,-2024,158,158,158,158,0,0,0,0,0,0,-3.104369921,0.001566956,0.001892771
43,23010097,0,0,0,10000,1,0,9,-9,12,0,-1,1,1,-73,-2024,-1,73,-2024,158,158,158,158,0,0,0,0,0,0,-3.104359578,0.001558268,0.001943281
44,23010344,0,0,0,10000,1,0,9,-9,12,0,-1,1,0,-73,-2024,0,73,-2024,158,158,158,158,0,0,0,0,0,0,-3.104349014,0.001562074,0.001993589
